     0/219     2.47G   0.08538   0.03419         0    0.1196         0       256         0         0 0.0001195 1.822e-05   0.09329   0.03745         0
     1/219     2.47G   0.07432   0.03518         0    0.1095         0       256         0         0  0.003813 0.0007658   0.08579   0.03798         0
     2/219     2.47G   0.06707   0.03517         0    0.1022         0       256         0         0   0.01049  0.002171   0.07852    0.0395         0
     3/219     2.47G   0.05902    0.0358         0   0.09482         0       256         0         0   0.02046  0.003395   0.07029    0.0384         0
     4/219     2.47G   0.05326   0.03268         0   0.08594         0       256    0.4019    0.7143    0.6598    0.1593   0.07266   0.02894         0
     5/219     2.47G   0.05913    0.0246         0   0.08373         0       256    0.3592      0.75    0.5692    0.2164   0.05777   0.02847         0
     6/219     2.47G   0.05073   0.02297         0    0.0737         0       256     0.232    0.8742    0.6197    0.2966   0.05305   0.02544         0
     7/219     2.47G   0.05654   0.01875         0   0.07529         0       256    0.3169    0.7857    0.5525    0.1897   0.05274   0.02485         0
     8/219     2.47G   0.04906   0.01802         0   0.06708         0       256    0.1227    0.9286    0.4712    0.1501   0.06949   0.01886         0
     9/219     2.47G   0.06161   0.01452         0   0.07613         0       256    0.2465    0.8571    0.3131    0.1521    0.0605   0.02242         0
    10/219     2.47G   0.05506   0.01587         0   0.07093         0       256    0.1226    0.9643     0.301   0.05913   0.06538   0.01838         0
    11/219     2.47G   0.05479   0.01397         0   0.06876         0       256    0.1733    0.9643    0.4553    0.1152   0.06139   0.01902         0
    12/219     2.47G   0.05627   0.01439         0   0.07066         0       256    0.1689    0.9286    0.4574    0.1164   0.05537   0.02057         0
    13/219     2.47G   0.05367   0.01277         0   0.06644         0       256    0.1846    0.9643    0.5516     0.158   0.05329   0.01814         0
    14/219     2.47G   0.04677   0.01446         0   0.06123         0       256    0.2131    0.9286    0.4653    0.1602   0.05025   0.01752         0
    15/219     2.47G   0.04748   0.01091         0   0.05839         0       256    0.1606    0.9643    0.2717   0.05612   0.06663   0.01548         0
    16/219     2.47G   0.06141   0.01294         0   0.07436         0       256    0.2513    0.7143    0.3151     0.109   0.05639   0.02379         0
    17/219     2.47G   0.05174   0.01477         0   0.06651         0       256    0.1309    0.9286    0.4659    0.1937   0.05759   0.01777         0
    18/219     2.47G   0.05521   0.01063         0   0.06584         0       256    0.2041    0.8571    0.6577    0.3146   0.05154   0.02055         0
    19/219     2.47G   0.04669   0.01163         0   0.05831         0       256     0.168    0.9286     0.383     0.122   0.06243   0.01644         0
    20/219     2.47G   0.05058   0.01151         0   0.06209         0       256    0.2385    0.8929    0.4798    0.1796    0.0517   0.02029         0
    21/219     2.47G   0.04851   0.01048         0   0.05899         0       256    0.2146    0.9643    0.6517    0.3073   0.04559   0.01803         0
    22/219     2.47G   0.03681   0.01027         0   0.04707         0       256    0.1914    0.9643    0.7511    0.4243    0.0447   0.01722         0
    23/219     2.47G   0.04262  0.009596         0   0.05222         0       256     0.242     0.798    0.4874    0.1674   0.04909   0.02257         0
    24/219     2.47G   0.03992   0.01128         0    0.0512         0       256    0.2209    0.9286    0.3624   0.09594   0.05458    0.0184         0
    25/219     2.47G   0.05128   0.01021         0   0.06149         0       256    0.2301    0.9286    0.7297    0.4275   0.04402   0.01739         0
    26/219     2.47G   0.03643  0.009715         0   0.04615         0       256    0.3973    0.8929    0.8265    0.5113   0.03521    0.0177         0
    27/219     2.47G   0.03096  0.009026         0   0.03999         0       256    0.3362    0.9286    0.7631    0.3822    0.0407   0.01684         0
    28/219     2.47G   0.04165  0.008804         0   0.05045         0       256    0.2791    0.9286    0.7288    0.3899   0.04301   0.01733         0
