     0/219     1.45G   0.05816   0.03283         0   0.09099         0       256         0         0 0.0005149 0.0001182   0.06784   0.03978         0
     1/219     1.45G   0.04912   0.03515         0   0.08428         0       256         0         0  0.001229 0.0002672   0.06132   0.03992         0
     2/219     1.45G   0.04353   0.03366         0   0.07719         0       256         0         0   0.02741  0.005253   0.05495     0.037         0
     3/219     1.45G   0.04006   0.02814         0    0.0682         0       256      0.13    0.8571     0.412    0.0698   0.05806   0.02591         0
     4/219     1.45G   0.04181   0.02112         0   0.06294         0       256    0.1341    0.8929    0.2947   0.07503   0.05575   0.02069         0
     5/219     1.45G   0.05012   0.01442         0   0.06454         0       256    0.1423    0.6071    0.4162     0.217   0.06084   0.01858         0
     6/219     1.45G   0.04728   0.01427         0   0.06155         0       256    0.1821      0.75    0.3347    0.0912   0.06927   0.01399         0
     7/219     1.45G    0.0547   0.01175         0   0.06645         0       256    0.2972    0.7857     0.683    0.2338    0.0694   0.01729         0
     8/219     1.45G   0.05449   0.01295         0   0.06743         0       256    0.1218    0.8571    0.6287    0.2489   0.07016   0.01261         0
     9/219     1.45G   0.05133   0.01005         0   0.06138         0       256   0.09391    0.8214    0.4247     0.195   0.07505   0.01151         0
    10/219     1.45G    0.0523   0.01076         0   0.06306         0       256    0.1143    0.9286    0.4954    0.2519   0.06454   0.01228         0
    11/219     1.45G   0.04508  0.009768         0   0.05485         0       256    0.1009    0.9643    0.3853    0.1705   0.06122    0.0133         0
    12/219     1.45G   0.05019  0.008825         0   0.05901         0       256    0.1431    0.8929    0.5004    0.2449   0.06656   0.01338         0
    13/219     1.45G   0.04807  0.009668         0   0.05774         0       256    0.1531    0.8929    0.5715    0.3063   0.05705   0.01567         0
    14/219     1.45G   0.04599  0.009865         0   0.05586         0       256    0.1969    0.9286    0.7035    0.1967   0.05461   0.01503         0
    15/219     1.45G   0.04215   0.01039         0   0.05254         0       256    0.1717    0.9643    0.6328    0.2738   0.05409   0.01385         0
    16/219     1.45G   0.04141  0.009435         0   0.05085         0       256    0.1611    0.9643    0.7589    0.3826   0.05403   0.01291         0
    17/219     1.45G   0.04588   0.00828         0   0.05416         0       256    0.1799    0.9643    0.7021    0.2151   0.05539   0.01373         0
    18/219     1.45G   0.03699    0.0126         0   0.04959         0       256    0.3121    0.9643    0.9229    0.3249   0.03828   0.02133         0
    19/219     1.45G    0.0277   0.01315         0   0.04086         0       256    0.2476    0.9643    0.4921    0.1493   0.03945   0.01905         0
    20/219     1.45G   0.03183   0.01102         0   0.04285         0       256    0.3295    0.9286    0.8486    0.4532   0.03651   0.01941         0
    21/219     1.45G   0.02796    0.0123         0   0.04026         0       256    0.2448    0.9643    0.9488    0.2791   0.04414   0.01553         0
    22/219     1.45G    0.0328  0.009197         0   0.04199         0       256    0.2559    0.9643      0.93    0.4328   0.03472   0.01534         0
    23/219     1.45G   0.02498  0.008924         0    0.0339         0       256    0.2662    0.9643    0.8663    0.3683   0.03349   0.01518         0
    24/219     1.45G   0.02606  0.008475         0   0.03453         0       256    0.2781    0.8571    0.6765    0.3083   0.03604   0.01716         0
    25/219     1.45G   0.02772  0.008078         0    0.0358         0       256    0.3775    0.8929    0.6778    0.4059   0.03574   0.01689         0
    26/219     1.45G   0.02414   0.00851         0   0.03265         0       256    0.5718    0.8929     0.882    0.5791   0.02887   0.01846         0
    27/219     1.45G   0.01826  0.007673         0   0.02594         0       256    0.3225    0.9286    0.9134    0.5937   0.02895   0.01574         0
    28/219     1.45G   0.02244  0.007279         0   0.02972         0       256    0.4322    0.9286      0.93    0.5406   0.02936   0.01564         0
    29/219     1.45G   0.02208  0.007673         0   0.02975         0       256    0.4201    0.9643     0.787    0.2438   0.03335   0.01604         0
    30/219     1.45G   0.02035  0.007692         0   0.02804         0       256    0.4127    0.9286    0.8407    0.4771   0.02854   0.01688         0
    31/219     1.45G   0.01796  0.006951         0   0.02491         0       256    0.4494    0.9286    0.8657    0.5242   0.02719   0.01646         0
    32/219     1.45G   0.02129  0.007277         0   0.02856         0       256    0.4005    0.9286    0.7912    0.4374   0.02829   0.01721         0
    33/219     1.45G   0.01915  0.007009         0   0.02616         0       256      0.48    0.8929    0.8159    0.5322   0.03046   0.01835         0
    34/219     1.45G   0.01732  0.006762         0   0.02408         0       256    0.5795    0.8929    0.8641    0.5099   0.02717   0.01818         0
    35/219     1.45G    0.0164   0.00667         0   0.02307         0       256    0.4796    0.8571    0.8548    0.5478   0.02894   0.01838         0
    36/219     1.45G   0.02241  0.006925         0   0.02934         0       256    0.4115    0.8929    0.7665    0.4146   0.02989    0.0168         0
    37/219     1.45G   0.02422  0.008217         0   0.03244         0       256    0.5848    0.9643    0.9145    0.5369   0.02706   0.01763         0
    38/219     1.45G   0.01573  0.007518         0   0.02325         0       256    0.5758    0.9643    0.8834    0.5656   0.02436   0.01584         0
    39/219     1.45G   0.01603  0.006681         0   0.02271         0       256    0.4678    0.9643    0.8186    0.5313    0.0273   0.01514         0
    40/219     1.45G    0.0196  0.006558         0   0.02616         0       256    0.4066    0.9286    0.8286    0.4849   0.03039   0.01628         0
    41/219     1.45G   0.02415  0.007074         0   0.03123         0       256    0.5407    0.9286    0.8918    0.5815   0.02919   0.01901         0
    42/219     1.45G   0.01568  0.006592         0   0.02227         0       256    0.6362    0.8746    0.8822    0.5135    0.0284   0.01845         0
