    51/219     2.47G   0.02215   0.00633         0   0.02848         0       256    0.8181    0.9286    0.9076    0.5337   0.03251   0.01828         0
    52/219     2.47G   0.02367  0.006954         0   0.03062         0       256    0.6691    0.9286    0.8992    0.5381   0.03246   0.01885         0
    53/219     2.47G   0.02426   0.00738         0   0.03164         0       256    0.6714    0.9643    0.9153    0.6239   0.03045   0.01764         0
    54/219     2.47G   0.01973  0.007032         0   0.02676         0       256    0.1741    0.9286    0.6802    0.4949   0.03096   0.02378         0
    55/219     2.47G   0.02153  0.007065         0    0.0286         0       256    0.5417    0.9286    0.9095    0.5794   0.03031   0.01957         0
    56/219     2.47G   0.02475  0.006999         0   0.03175         0       256    0.5291    0.9643    0.8651      0.56    0.0346   0.02175         0
    57/219     2.47G   0.02313  0.007203         0   0.03033         0       256    0.7716    0.9643    0.9455     0.666   0.03073   0.01857         0
    58/219     2.47G   0.02159  0.006266         0   0.02786         0       256    0.6313    0.9643    0.9462    0.6252   0.03218   0.01743         0
    59/219     2.47G   0.02125  0.006221         0   0.02747         0       256    0.6218    0.9643    0.9003    0.5215   0.03482   0.01941         0
    60/219     2.47G   0.02493   0.00721         0   0.03214         0       256    0.6942    0.9643     0.941    0.5967   0.03229   0.01964         0
    61/219     2.47G   0.01982  0.006252         0   0.02607         0       256    0.6121    0.9643    0.9571    0.6574   0.02882   0.01672         0
    62/219     2.47G   0.01791  0.005945         0   0.02385         0       256    0.6674    0.9643    0.9571    0.6357   0.02968   0.01673         0
    63/219     2.47G   0.01965  0.005899         0   0.02555         0       256    0.6809    0.9643    0.9511    0.6058   0.02921   0.01729         0
    64/219     2.47G   0.01974  0.005814         0   0.02555         0       256    0.7152    0.9643    0.9508      0.63   0.02966   0.01741         0
    65/219     2.47G    0.0188  0.005654         0   0.02446         0       256    0.7723    0.9643    0.9339    0.5944   0.03015    0.0179         0
    66/219     2.47G   0.01936  0.005639         0   0.02499         0       256    0.7295    0.9643    0.9251    0.5755   0.02915   0.01939         0
    67/219     2.47G    0.0195  0.005739         0   0.02524         0       256    0.6479    0.9643    0.9288    0.6366   0.02948   0.01947         0
    68/219     2.47G   0.01892  0.005534         0   0.02446         0       256    0.6699    0.9643    0.9277    0.6401    0.0308   0.01944         0
    69/219     2.47G   0.01727  0.005498         0   0.02276         0       256    0.7095    0.9643    0.9262    0.6108    0.0291   0.01866         0
    70/219     2.47G   0.01621  0.005191         0    0.0214         0       256    0.6931    0.9643    0.9379    0.6158   0.02913   0.01784         0
    71/219     2.47G   0.01707  0.005117         0   0.02219         0       256    0.7136    0.9286     0.927    0.6213   0.03046   0.01884         0
    72/219     2.47G    0.0179  0.005534         0   0.02343         0       256    0.7951    0.9286    0.9256    0.6583    0.0304   0.02058         0
    73/219     2.47G   0.01781  0.005545         0   0.02335         0       256    0.8434    0.9286    0.9221    0.6418   0.03038   0.02175         0
    74/219     2.47G   0.01388  0.004922         0    0.0188         0       256    0.6876    0.9643    0.9365    0.6061   0.02981    0.0185         0
    75/219     2.47G   0.01678  0.004974         0   0.02175         0       256    0.6747    0.9643    0.9234    0.6062   0.03121   0.01833         0
    76/219     2.47G   0.01885  0.005654         0   0.02451         0       256    0.7543    0.9286    0.9299    0.6184   0.03024   0.01905         0
    77/219     2.47G   0.01814  0.005225         0   0.02337         0       256    0.7359    0.9286     0.932     0.634   0.03043   0.01941         0
    78/219     2.47G    0.0164  0.005202         0   0.02161         0       256    0.7348    0.9643    0.9384    0.6604   0.02852   0.01904         0
    79/219     2.47G   0.01595  0.004993         0   0.02095         0       256    0.7004    0.9643    0.9366    0.6765   0.02804   0.01848         0
    80/219     2.47G   0.01549  0.004929         0   0.02042         0       256    0.7136    0.9643    0.9373     0.674   0.02765   0.01836         0
    81/219     2.47G   0.01335  0.004726         0   0.01808         0       256    0.7208    0.9643    0.9381    0.6357   0.02926   0.01866         0
    82/219     2.47G   0.01529  0.004779         0   0.02007         0       256    0.7561    0.9643    0.9339    0.6523   0.02877   0.01857         0
    83/219     2.47G   0.01415  0.004727         0   0.01888         0       256    0.6873    0.9286    0.9204    0.6453   0.02986   0.01895         0
    84/219     2.47G   0.01533   0.00487         0    0.0202         0       256    0.7578    0.9286    0.9193    0.6193   0.02959   0.01915         0
    85/219     2.47G     0.016  0.005001         0     0.021         0       256    0.7684    0.9286      0.92     0.615   0.02893   0.01912         0
    86/219     2.47G    0.0145  0.004808         0   0.01931         0       256    0.7573    0.9286    0.9339    0.6572   0.02912   0.01822         0
    87/219     2.47G   0.01406  0.004606         0   0.01866         0       256    0.7665    0.9286     0.933    0.6292   0.02926   0.01801         0
    88/219     2.47G   0.01375  0.004672         0   0.01842         0       256     0.677    0.9286     0.939    0.6599   0.02927   0.01816         0
    89/219     2.47G   0.01488  0.004712         0    0.0196         0       256    0.6775    0.9286    0.9358    0.6356   0.02862   0.01826         0
    90/219     2.47G   0.01292  0.004433         0   0.01735         0       256    0.7108    0.9286    0.9389    0.6545   0.02738   0.01794         0
    91/219     2.47G   0.01289  0.004365         0   0.01725         0       256    0.7067    0.9286    0.9344    0.6155   0.02917   0.01822         0
    92/219     2.47G   0.01705   0.00507         0   0.02212         0       256    0.7197    0.9286    0.9335    0.6517    0.0289   0.01837         0
    93/219     2.47G   0.01311  0.004583         0   0.01769         0       256    0.7642    0.9286    0.9311    0.6459   0.02832    0.0196         0
    94/219     2.47G   0.01096  0.004251         0   0.01521         0       256    0.7242    0.9643    0.9425    0.6375   0.02785   0.01853         0
    95/219     2.47G   0.01429  0.004575         0   0.01887         0       256    0.6924    0.9643    0.9433    0.5977   0.02841   0.01893         0
    96/219     2.47G   0.01579  0.004727         0   0.02052         0       256    0.7788    0.9643    0.9439    0.6488   0.02761   0.01872         0
    97/219     2.47G   0.01294  0.004409         0   0.01735         0       256    0.7728    0.9286    0.9398    0.6191   0.02805   0.01933         0
    98/219     2.47G   0.01193  0.004428         0   0.01636         0       256    0.7908    0.9643    0.9426    0.6623   0.02701   0.01913         0
    99/219     2.47G   0.01185  0.004151         0     0.016         0       256    0.7694    0.9286    0.9329    0.6564   0.02854   0.01884         0
   100/219     2.47G   0.01692  0.004784         0   0.02171         0       256    0.7778    0.9286    0.9336    0.6561     0.028   0.01887         0
   101/219     2.47G   0.01301  0.004382         0   0.01739         0       256    0.8178    0.9286    0.9258    0.6543   0.02853    0.0197         0
   102/219     2.47G   0.01267  0.004328         0     0.017         0       256    0.8136    0.9286    0.9375    0.6863   0.02732   0.01872         0
   103/219     2.47G   0.01113  0.004068         0   0.01519         0       256       0.8    0.9286    0.9282    0.6328   0.02772   0.01868         0
   104/219     2.47G   0.01257  0.004303         0   0.01687         0       256    0.8094    0.9286    0.9301     0.627   0.02756   0.01913         0
   105/219     2.47G   0.01096  0.003922         0   0.01489         0       256    0.7747    0.9286    0.9249    0.6359   0.02851   0.01928         0
   106/219     2.47G   0.01063  0.003861         0   0.01449         0       256    0.8155    0.9286    0.9337    0.6219   0.02785   0.01924         0
   107/219     2.47G   0.01316  0.004128         0   0.01729         0       256     0.792    0.9286    0.9279    0.6298   0.02899   0.01959         0
   108/219     2.47G   0.01439  0.004668         0   0.01906         0       256     0.824    0.9286    0.9279     0.641   0.02876   0.01994         0
   109/219     2.47G   0.01083  0.004045         0   0.01488         0       256    0.8036    0.9286    0.9331     0.654   0.02779   0.01929         0
