    51/299     2.42G   0.02154   0.01553         0   0.03707         0       256     0.728    0.9643     0.965    0.6219   0.02253   0.01493         0
    52/299     2.42G   0.01984   0.01439         0   0.03423         0       256    0.5644    0.9643    0.9215      0.55   0.02185   0.01488         0
    53/299     2.42G   0.01862   0.01357         0   0.03219         0       256    0.7446    0.8929    0.9186    0.5831   0.02132   0.01693         0
    54/299     2.42G   0.01856   0.01246         0   0.03102         0       256    0.4658    0.9643    0.9561    0.5719   0.02147   0.01581         0
    55/299     2.42G     0.015   0.01087         0   0.02586         0       256    0.6454    0.9286    0.9428    0.5497   0.02231   0.01576         0
    56/299     2.42G   0.01801   0.01202         0   0.03003         0       256     0.706    0.9643    0.9702     0.557   0.02287   0.01483         0
    57/299     2.42G   0.01891   0.01389         0   0.03281         2       256    0.7491    0.9643    0.9676    0.6371   0.02042   0.01388         0
    58/299     2.42G   0.02009   0.01414         0   0.03423         0       256    0.6439    0.9643    0.9528    0.5498   0.02198   0.01571         0
    59/299     2.42G   0.01598   0.01193         0   0.02792         1       256    0.4937    0.9643    0.9504    0.6085     0.021   0.01626         0
    60/299     2.42G   0.02041   0.01327         0   0.03368         0       256    0.4588    0.9643    0.9432    0.4508   0.02458   0.01809         0
    61/299     2.42G   0.01824   0.01228         0   0.03052         1       256    0.6222    0.9643    0.9383    0.5778   0.02009   0.01611         0
    62/299     2.42G   0.02126   0.01367         0   0.03492         1       256    0.6953    0.9643    0.9553    0.5726   0.02149   0.01602         0
    63/299     2.42G   0.01834   0.01336         0   0.03171         2       256    0.6318    0.9195    0.9121    0.5524    0.0232   0.01752         0
    64/299     2.42G   0.01772    0.0122         0   0.02992         2       256    0.6134    0.8929    0.8911    0.5041   0.02416   0.01903         0
    65/299     2.42G   0.01949    0.0138         0   0.03329         0       256    0.4996    0.9643    0.9516    0.5991   0.02007   0.01676         0
    66/299     2.42G   0.01798   0.01466         0   0.03264         2       256    0.6207    0.9643    0.9044    0.5557   0.02162   0.01713         0
    67/299     2.42G   0.01793   0.01312         0   0.03106         1       256    0.6777    0.9643     0.956    0.6201   0.02106   0.01517         0
    68/299     2.42G   0.02295   0.01573         0   0.03869         1       256    0.7017    0.9643    0.9636    0.5358   0.02346    0.0149         0
    69/299     2.42G   0.01743   0.01242         0   0.02985         1       256    0.6866    0.9643     0.965    0.5688   0.02104   0.01354         0
    70/299     2.42G   0.01662   0.01269         0   0.02931         0       256    0.8092    0.9643    0.9625    0.5415   0.02154   0.01452         0
    71/299     2.42G   0.01863   0.01341         0   0.03204         2       256     0.728    0.9643    0.9492    0.5755   0.02176   0.01595         0
    72/299     2.42G   0.02052   0.01587         0    0.0364         2       256    0.6794    0.9643    0.9573    0.6022   0.02153   0.01587         0
    73/299     2.42G   0.01738   0.01344         0   0.03082         1       256    0.6462    0.9286    0.9201    0.5817   0.02125   0.01728         0
    74/299     2.42G   0.01776    0.0144         0   0.03215         2       256    0.6612    0.8929    0.8849    0.5782   0.02105   0.01848         0
    75/299     2.42G    0.0165   0.01272         0   0.02921         2       256    0.5485    0.8929    0.8265    0.4873    0.0214   0.01677         0
    76/299     2.42G   0.02068   0.01508         0   0.03576         0       256    0.5755    0.9202    0.9123    0.5458   0.02165   0.01696         0
    77/299     2.42G    0.0187   0.01256         0   0.03126         1       256    0.5525    0.9286    0.8849    0.4745   0.02343   0.01857         0
    78/299     2.42G   0.01741   0.01172         0   0.02913         2       256    0.5339    0.9286    0.9119    0.5695   0.02146   0.01814         0
    79/299     2.42G   0.01938   0.01338         0   0.03276         1       256    0.6985    0.8929    0.9041    0.5899   0.02026   0.01779         0
    80/299     2.42G   0.02333   0.01555         0   0.03888         0       256    0.5609    0.9643    0.9427    0.5498   0.02188   0.01771         0
    81/299     2.42G   0.01807   0.01239         0   0.03047         1       256    0.6873    0.9286     0.916    0.5765   0.02038   0.01888         0
    82/299     2.42G   0.01701    0.0115         0   0.02851         0       256    0.6851    0.9286    0.9331    0.5687   0.02028   0.01678         0
    83/299     2.42G   0.01828   0.01408         0   0.03236         1       256    0.8354    0.9063    0.9248    0.4845   0.02162   0.01792         0
    84/299     2.42G   0.02048   0.01346         0   0.03394         0       256    0.6277    0.9643     0.955    0.4764   0.02465   0.01774         0
    85/299     2.42G   0.01992   0.01438         0    0.0343         1       256    0.7518    0.9286    0.8938    0.5369   0.02044   0.01833         0
    86/299     2.42G   0.01798   0.01209         0   0.03007         2       256    0.8062    0.8929     0.919    0.5985      0.02   0.01819         0
    87/299     2.42G   0.01787   0.01314         0   0.03102         1       256    0.7352    0.9643    0.9539    0.5763   0.02027   0.01532         0
    88/299     2.42G   0.01885   0.01346         0   0.03232         1       256    0.7953    0.9643    0.9622    0.6501   0.02025   0.01473         0
    89/299     2.42G   0.01556   0.01376         0   0.02932         2       256    0.6857    0.9643    0.9625    0.6012    0.0205   0.01525         0
    90/299     2.42G   0.01611   0.01246         0   0.02857         0       256    0.6532    0.9643     0.961    0.6045   0.02023   0.01528         0
    91/299     2.42G   0.01657   0.01117         0   0.02774         1       256    0.5712    0.9643    0.9506    0.6113    0.0204   0.01641         0
    92/299     2.42G   0.01551   0.01332         0   0.02883         0       256    0.6339    0.9643    0.9599    0.6125    0.0192   0.01673         0
    93/299     2.42G   0.01536   0.01045         0   0.02581         1       256    0.8291    0.9643    0.9566    0.6199   0.02025   0.01545         0
    94/299     2.42G   0.01471   0.01174         0   0.02645         1       256    0.7336    0.9643     0.953    0.5358   0.02316   0.01652         0
    95/299     2.42G   0.01648   0.01095         0   0.02743         1       256    0.7109    0.9643     0.965     0.562   0.02084   0.01609         0
    96/299     2.42G   0.01664   0.01276         0    0.0294         2       256    0.6812    0.9643     0.961    0.6114   0.01949   0.01482         0
    97/299     2.42G   0.01548   0.01075         0   0.02623         0       256     0.657    0.9286     0.949    0.5638   0.02075    0.0157         0
    98/299     2.42G   0.01811    0.0131         0   0.03121         1       256    0.7076    0.9286     0.925    0.5754   0.02003   0.01652         0
    99/299     2.42G   0.01874    0.0127         0   0.03144         1       256    0.7425    0.9286    0.9239    0.5258    0.0238   0.01663         0
   100/299     2.42G    0.0207   0.01342         0   0.03412         0       256    0.8199    0.9286     0.925    0.5975   0.02064   0.01685         0
   101/299     2.42G   0.01751   0.01215         0   0.02966         1       256    0.8712    0.9286     0.925     0.523   0.02132   0.01682         0
   102/299     2.42G   0.01895   0.01219         0   0.03114         0       256    0.8454    0.9286     0.925    0.5843   0.01973   0.01654         0
   103/299     2.42G   0.01633   0.01006         0   0.02639         1       256    0.7986    0.9286     0.925    0.5694   0.01986   0.01632         0
   104/299     2.42G   0.01676   0.01148         0   0.02824         2       256    0.7675    0.9286    0.9534    0.6007   0.01853   0.01505         0
   105/299     2.42G   0.01505   0.01149         0   0.02654         0       256    0.7718    0.9643    0.9584    0.6162   0.01867    0.0152         0
   106/299     2.42G   0.01559   0.01225         0   0.02784         0       256    0.6982    0.9286    0.9481    0.6032   0.02131   0.01576         0
   107/299     2.42G   0.01501    0.0103         0    0.0253         1       256    0.7241    0.9643    0.9539    0.5783   0.02134   0.01586         0
   108/299     2.42G   0.01614   0.01178         0   0.02792         2       256    0.7989    0.9643    0.9622    0.5789   0.02086   0.01492         0
   109/299     2.42G   0.01644   0.01025         0    0.0267         1       256    0.7905    0.9643    0.9557    0.5713   0.02031   0.01516         0
   110/299     2.42G   0.01444   0.01162         0   0.02606         0       256    0.7594    0.9643     0.965    0.6075   0.01993   0.01479         0
   111/299     2.42G   0.01525    0.0112         0   0.02645         1       256    0.8117    0.9643    0.9622       0.6   0.02056   0.01464         0
   112/299     2.42G   0.01941   0.01334         0   0.03275         1       256    0.8992    0.9558     0.961    0.5807   0.02002   0.01484         0
   113/299     2.42G   0.01703   0.01197         0     0.029         0       256    0.8918    0.9286    0.9311    0.5557   0.02051   0.01632         0
   114/299     2.42G   0.01918   0.01302         0   0.03221         1       256    0.6939    0.8929    0.9144    0.5433    0.0205   0.01824         0
   115/299     2.42G   0.01349   0.01026         0   0.02375         1       256    0.7016    0.9286    0.9239      0.55   0.01983   0.01774         0
   116/299     2.42G   0.01559   0.01202         0   0.02761         1       256    0.5342    0.9286     0.945    0.5933   0.02009   0.01672         0
   117/299     2.42G   0.01608   0.01243         0   0.02851         1       256    0.8161    0.9286     0.925    0.5821   0.01978    0.0169         0
   118/299     2.42G   0.01634   0.01191         0   0.02825         2       256    0.8499    0.9286    0.9239    0.6164   0.01882   0.01598         0
   119/299     2.42G   0.01252   0.00958         0    0.0221         1       256    0.8345    0.9286    0.9239    0.5711    0.0221   0.01774         0
   120/299     2.42G   0.01396   0.01025         0   0.02422         1       256    0.8453    0.9286    0.9239    0.6205   0.01934    0.0162         0
   121/299     2.42G    0.0145   0.01138         0   0.02588         1       256    0.8014    0.9286    0.9239    0.5923   0.01967   0.01653         0
   122/299     2.42G   0.01583   0.01075         0   0.02659         0       256    0.8312    0.9286    0.9239    0.5874   0.02047   0.01687         0
