    51/219     1.37G   0.01968  0.005702         0   0.02538         0       256    0.4213    0.8929    0.9184    0.5453   0.03346   0.01868         0
    52/219     1.37G   0.02128  0.006096         0   0.02737         0       256    0.4297    0.8929    0.8825    0.4845   0.03402   0.01916         0
    53/219     1.37G   0.02299  0.006318         0   0.02931         0       256    0.4719    0.8929    0.8885    0.5395   0.03297   0.01953         0
    54/219     1.37G   0.01947   0.00578         0   0.02525         0       256    0.4544    0.9643    0.9279    0.5048   0.03139   0.01807         0
    55/219     1.37G   0.01933  0.005704         0   0.02504         0       256    0.3896    0.9643    0.8983    0.5567   0.03269   0.01804         0
    56/219     1.37G      0.02  0.005717         0   0.02572         0       256    0.4551    0.9643    0.9309    0.6295   0.03202   0.01824         0
    57/219     1.37G   0.01924  0.005489         0   0.02473         0       256    0.4346    0.9643    0.9248    0.5704   0.03223   0.01801         0
    58/219     1.37G   0.01819  0.005251         0   0.02344         0       256    0.4322    0.9643     0.921    0.5943   0.03158   0.01748         0
    59/219     1.37G   0.01763  0.005193         0   0.02282         0       256    0.4743    0.9643    0.8971    0.5812   0.03199   0.01866         0
    60/219     1.37G   0.01832  0.005393         0   0.02371         0       256    0.4851    0.9087    0.9002    0.5757   0.03186   0.01988         0
    61/219     1.37G    0.0194  0.005374         0   0.02477         0       256    0.4042    0.8571    0.8357    0.4198   0.03412   0.02168         0
    62/219     1.37G   0.01805  0.005395         0   0.02345         0       256    0.4654    0.8929    0.8881    0.5642   0.03274   0.02151         0
    63/219     1.37G   0.01817  0.005295         0   0.02347         0       256    0.4517    0.8929    0.8932    0.5219    0.0332    0.0208         0
    64/219     1.37G   0.01776  0.005157         0   0.02292         0       256    0.4671    0.8929    0.9101    0.6114   0.03134   0.01995         0
    65/219     1.37G    0.0175  0.005237         0   0.02273         0       256    0.4343    0.8929      0.91    0.5744   0.03092   0.01932         0
    66/219     1.37G   0.01707  0.005171         0   0.02224         0       256    0.4327    0.8929     0.918    0.5012   0.03101   0.01897         0
    67/219     1.37G   0.01646  0.005324         0   0.02179         0       256    0.4343    0.8929    0.9087    0.5363   0.03143   0.02003         0
    68/219     1.37G   0.01754  0.005555         0   0.02309         0       256    0.4198    0.8929    0.8983    0.5499    0.0309   0.02026         0
    69/219     1.37G   0.01657  0.005289         0   0.02186         0       256    0.4284    0.9103    0.8996      0.58   0.02974   0.01982         0
    70/219     1.37G   0.01568  0.005098         0   0.02078         0       256    0.5021    0.9643    0.9144    0.5613   0.02855   0.02027         0
    71/219     1.37G    0.0146  0.005403         0      0.02         0       256    0.5059    0.8778    0.8784    0.5995   0.02925   0.02214         0
    72/219     1.37G   0.01551  0.005468         0   0.02098         0       256     0.467    0.8571    0.8429    0.5173   0.03053   0.02318         0
    73/219     1.37G   0.01862  0.005809         0   0.02443         0       256    0.5244    0.7857    0.7996    0.4395    0.0314   0.02586         0
    74/219     1.37G   0.01605  0.005848         0   0.02189         0       256    0.5057      0.75    0.7876    0.4955   0.03006   0.02716         0
    75/219     1.37G   0.01384  0.005519         0   0.01936         0       256    0.5543    0.8571    0.8181    0.4103   0.03064   0.02483         0
    76/219     1.37G   0.01708  0.006337         0   0.02342         0       256    0.6018    0.8097    0.8127     0.515   0.02949   0.02535         0
    77/219     1.37G   0.01406  0.005674         0   0.01973         0       256    0.6231    0.8856    0.8604    0.5503   0.02812   0.02436         0
    78/219     1.37G   0.01222  0.005321         0   0.01754         0       256    0.6841    0.8929    0.8921    0.5788   0.02699   0.02354         0
    79/219     1.37G   0.01022  0.004855         0   0.01507         0       256    0.6587    0.8929    0.8866    0.5573   0.02659   0.02258         0
    80/219     1.37G   0.01062  0.004847         0   0.01547         0       256    0.6166    0.8929    0.9081    0.5174   0.02698   0.02162         0
    81/219     1.37G   0.01314  0.005379         0   0.01852         0       256    0.6232    0.8929    0.8996    0.5218   0.02788    0.0227         0
    82/219     1.37G   0.01219  0.005073         0   0.01726         0       256      0.64    0.8929    0.9091    0.5712   0.02518   0.02173         0
    83/219     1.37G  0.009426  0.004646         0   0.01407         0       256    0.5764    0.9286    0.9066    0.5241   0.02519   0.01953         0
    84/219     1.37G   0.01269  0.005269         0   0.01796         0       256    0.6293    0.9097    0.9025    0.5707   0.02705   0.02005         0
    85/219     1.37G   0.01426  0.005559         0   0.01981         0       256    0.6893    0.8929    0.9207    0.5573   0.02505   0.02063         0
    86/219     1.37G  0.009299  0.004603         0    0.0139         0       256    0.6985    0.9286    0.9288    0.5789     0.025   0.01887         0
    87/219     1.37G   0.01024   0.00462         0   0.01486         0       256    0.6831    0.9286    0.9181    0.5705   0.02451   0.01912         0
    88/219     1.37G   0.00962  0.004481         0    0.0141         0       256    0.6573    0.9286    0.9204    0.6032   0.02564   0.01934         0
    89/219     1.37G   0.01115   0.00462         0   0.01577         0       256    0.7295    0.9286    0.9172    0.5551   0.02532   0.02102         0
    90/219     1.37G   0.00918  0.004358         0   0.01354         0       256    0.6957    0.9286    0.9126    0.5876   0.02499     0.021         0
    91/219     1.37G   0.01066  0.004565         0   0.01523         0       256    0.6975    0.8929    0.9132    0.6065    0.0246   0.02029         0
    92/219     1.37G  0.009887   0.00443         0   0.01432         0       256    0.6965    0.8929    0.9072    0.5471   0.02477   0.02052         0
    93/219     1.37G   0.01051  0.004509         0   0.01502         0       256    0.6686    0.9286    0.9078    0.5853   0.02492   0.02116         0
    94/219     1.37G   0.00865  0.004221         0   0.01287         0       256    0.6779    0.9286    0.9115    0.5616   0.02558   0.02138         0
